dbn,school_name,school_type,address,uhf_name,pct_poverty,chronic_absenteeism_rate,asthma_ed_rate,pct_swd,risk_factor_count,enrollment
07X343,Academy of Applied Mathematics and Technology,High School,345 BROOK AVENUE,Hunts Point - Mott Haven,93.1,24.6,192.3,26.7,3,285.0
09X525,Bronx Leadership Academy High School,High School,1710 WEBSTER AVENUE,Crotona - Tremont,93.1,39.4,171.9,32.9,3,393.0
07X221,South Bronx Preparatory: A College Board School,High School,360 EAST 145 STREET,Hunts Point - Mott Haven,93.0,26.5,192.3,24.4,3,630.0
12X383,Emolior Academy,High School,1970 WEST FARMS ROAD,Crotona - Tremont,93.0,37.7,171.9,24.1,3,406.0
11X103,P.S. 103 Hector Fontanez,Elementary,4125 CARPENTER AVENUE,Northeast Bronx,92.9,43.7,104.6,24.2,3,881.0
12X521,The Metropolitan Soundview High School,High School,1300 BOYNTON AVENUE,Pelham - Throgs Neck,92.5,38.7,98.3,28.0,3,403.0
10X205,P.S. 205 Fiorello LaGuardia,Elementary,2475 SOUTHERN BOULEVARD,Fordham - Bronx Park,92.4,41.4,132.4,23.4,3,594.0
09X505,"Bronx School for Law, Government and Justice",Other,244 EAST 163 STREET,High Bridge - Morrisania,92.0,32.4,178.0,23.9,3,714.0
10X280,P.S./M.S. 280 Mosholu Parkway,Middle School,3202 STEUBEN AVENUE,Fordham - Bronx Park,91.8,42.9,132.4,25.8,3,727.0
10X363,Academy For Personal Leadership And Excellence,High School,120 EAST 184 STREET,Fordham - Bronx Park,91.7,43.4,132.4,24.4,3,857.0
12X314,Fairmont Neighborhood School,Other,1550 VYSE AVENUE,Crotona - Tremont,91.5,41.2,171.9,25.4,3,284.0
09X058,P.S. 058,Elementary,459 EAST 176 STREET,Crotona - Tremont,91.3,43.6,171.9,23.1,3,319.0
09X053,P.S. 053 Basheer Quisim,Elementary,360 EAST 168 STREET,High Bridge - Morrisania,91.1,40.1,178.0,12.7,3,691.0
09X252,Mott Hall Bronx High School,High School,1595 BATHGATE AVENUE,Crotona - Tremont,90.9,49.0,171.9,24.8,3,335.0
10X340,P.S. 340,Elementary,25 WEST 195 STREET,Fordham - Bronx Park,90.6,36.3,132.4,27.4,3,604.0
09X517,Frederick Douglass Academy III Secondary School,High School,3630 THIRD AVENUE,High Bridge - Morrisania,90.6,30.5,178.0,31.0,3,262.0
08X123,J.H.S. 123 James M. Kieran,Middle School,1025 MORRISON AVENUE,Pelham - Throgs Neck,90.3,41.1,98.3,27.5,3,511.0
09X263,Validus Preparatory Academy,High School,1595 BATHGATE AVENUE,Crotona - Tremont,90.2,56.5,171.9,25.6,3,308.0
09X324,Bronx Early College Academy for Teaching & Learnin,High School,250 EAST 164 STREET,High Bridge - Morrisania,90.1,39.4,178.0,22.8,3,376.0
08X130,P.S. 130 Abram Stevens Hewitt,Elementary,750 PROSPECT AVENUE,Hunts Point - Mott Haven,90.0,43.4,192.3,19.7,3,332.0
10X308,Bronx Dance Academy School,High School,3617 BAINBRIDGE AVENUE,Fordham - Bronx Park,90.0,42.2,132.4,25.9,3,277.0
10X080,J.H.S. 080 The Mosholu Parkway,Middle School,149 EAST MOSHOLU PKWY N,Fordham - Bronx Park,89.5,36.4,132.4,23.5,3,621.0
12X684,Wings Academy,High School,1122 EAST 180 STREET,Crotona - Tremont,89.4,58.6,171.9,29.4,3,261.0
10X546,Bronx Theatre High School,High School,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,88.9,68.7,44.8,28.6,3,249.0
10X213,Bronx Engineering and Technology Academy,High School,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,88.5,56.4,44.8,30.4,3,344.0
12X286,Fannie Lou Hamer Middle School,Middle School,1001 JENNINGS STREET,Crotona - Tremont,88.4,41.7,171.9,32.2,3,271.0
08X562,Blueprint Middle School,Middle School,1111 PUGSLEY AVENUE,Pelham - Throgs Neck,88.1,41.7,98.3,23.1,3,597.0
10X565,High School for Energy and Technology,High School,2474 CROTONA AVENUE,Fordham - Bronx Park,87.9,43.4,132.4,29.3,3,348.0
12X682,Fannie Lou Hamer Freedom High School,High School,1021 JENNINGS STREET,Crotona - Tremont,87.9,65.1,171.9,28.0,3,441.0
07X379,Jill Chaifetz Transfer High School,High School,778 FOREST AVENUE,High Bridge - Morrisania,87.4,,178.0,34.2,3,
12X478,The Cinema School,Other,1551 EAST 172ND STREET,Pelham - Throgs Neck,87.4,51.1,98.3,24.7,3,319.0
10X037,P.S. X037 - Multiple Intelligence School,Elementary,360 WEST 230 STREET,Kingsbridge - Riverdale,87.1,53.8,44.8,27.6,3,485.0
08X131,J.H.S. 131 Albert Einstein,Middle School,885 BOLTON AVENUE,Pelham - Throgs Neck,86.6,44.0,98.3,26.2,3,343.0
08X100,P.S. 100 Isaac Clason,Elementary,800 TAYLOR AVENUE,Pelham - Throgs Neck,86.3,43.4,98.3,25.4,3,472.0
07X500,Hostos-Lincoln Academy of Science,High School,600 SAINT ANN'S AVENUE,Hunts Point - Mott Haven,85.5,52.6,192.3,22.5,3,468.0
07X557,Mott Haven Community High School,High School,455 SOUTHERN BLVD,Hunts Point - Mott Haven,85.3,,192.3,39.3,3,
10X225,Theatre Arts Production Company School,Other,2225 WEBSTER AVENUE,Crotona - Tremont,84.8,51.5,171.9,25.0,3,433.0
11X418,Bronx High School for the Visual Arts,High School,2040 ANTIN PL,Pelham - Throgs Neck,84.4,37.7,98.3,26.0,3,430.0
11X566,Pelham Gardens Middle School,Middle School,2545 GUNTHER AVENUE,Northeast Bronx,83.9,46.1,104.6,27.3,3,323.0
08X448,Soundview Academy for Culture and Scholarship,High School,885 BOLTON AVENUE,Pelham - Throgs Neck,83.0,56.5,98.3,30.0,3,255.0
08X072,P.S. 072 Dr. William Dorney,Elementary,2951 DEWEY AVENUE,Pelham - Throgs Neck,82.8,47.1,98.3,25.9,3,647.0
10X056,P.S. 056 Norwood Heights,Elementary,341 EAST 207 STREET,Fordham - Bronx Park,82.4,39.4,132.4,24.5,3,662.0
11X462,Cornerstone Academy for Social Action Middle Schoo,Middle School,3441 STEENWICK AVENUE,Northeast Bronx,81.0,43.6,104.6,27.5,3,179.0
10X264,Bronx Academy for Software Engineering (BASE),High School,2474 CROTONA AVENUE,Fordham - Bronx Park,80.4,52.6,132.4,28.1,3,390.0
