fiscal_year,system_code,location_code,location_name,beds,managed_by_name,location_type_description,location_category_description,grades_text,grades_final_text,open_date,status_descriptions,primary_building_code,primary_address_line_1,state_code,x_coordinate,y_coordinate,longitude,latitude,community_district,council_district,census_tract,borough_block_lot,nta,nta_name,principal_name,principal_title,principal_phone_number,fax_number,geographical_district_code,administrative_district_code,administrative_district_name,community_school_sup_name,tier_3_support_location_name,tier_3_support_leader_name,tier_2_support_location_name,highschool_network_location,highschool_network_name,highschool_network,community_district_1,police_precinct
2020,10X008,X008,P.S. 008 Isaac Varian,321000010008,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1958-07-01T00:00:00.000,Open,X008,3010 BRIGGS AVENUE,NY,1016514,257087,-73.883339,40.872259,207,11,41500,2032990060,BX05,Bedford Park-Fordham North,CLAUDIA TAHIRAJ-SADRIJA,Principal,718-584-3043,718-584-7376,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,207,52
2020,10X009,X009,P.S. 9 Ryer Avenue Elementary School,321000010009,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1938-07-01T00:00:00.000,Open,X009,230 EAST 183 STREET,NY,1012239,251318,-73.898821,40.85644,205,15,38301,2031500010,BX40,Fordham South,JACQUELINE BAILEY,Principal,718-584-3291,718-584-7579,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,205,46
2020,75X010,X010,P.S. X010,307500012010,DOE,Special Education,K-12 all grades,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","PK,0K,01,02,SE",1995-12-12T00:00:00.000,Open,X101,2750 LAFAYETTE AVENUE,NY,1031516,240651,-73.829211,40.82708,210,13,15200,2055470001,BX52,Schuylerville-Throgs Neck-Edgewater Park,Christophe Reda,Principal,718-828-4022,718-823-1573,8,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 751,NULL,NULL,NULL,210,45
2020,09X011,X011,P.S. 011 Highbridge,320900010011,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04",1890-07-01 00:00:00.000,Open,X011,1257 OGDEN AVENUE,NY,1004756,245209,-73.92589,40.839693,204,16,20100,2025290081,BX26,Highbridge,JOAN KONG,Principal,718-681-7553,718-681-7711,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,204,44
2020,75X012,X012,P.S. X012 Lewis and Clark School,307500012012,DOE,Special Education,Secondary School,"06,07,08,09,10,11,12,SE","03,04,05,06,07,08,09,10,11,12,SE",1966-07-01T00:00:00.000,Open,X012,2555 TRATMAN AVENUE,NY,1027225,245578,-73.844685,40.840625,210,13,20000,2039830001,BX37,Van Nest-Morris Park-Westchester Square,KUVANA JONES SANDERS,Principal,718-409-9040,718-931-8121,11,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 754,NULL,NULL,NULL,210,45
2020,08X014,X014,P.S. X014 Senator John Calandra,320800010014,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1928-07-01T00:00:00.000,Open,X014,3047 BRUCKNER BOULEVARD,NY,1032322,243654,-73.826277,40.835318,210,13,18400,2053130092,BX52,Schuylerville-Throgs Neck-Edgewater Park,Ira Schulman,Principal,718-822-5341,718-239-6386,8,8,COMMUNITY SCHOOL DISTRICT 08,"TOBIA, ERIKA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 7- Bronx,NULL,NULL,NULL,210,45
2020,10X015,X015,P.S. X015 Institute for Environmental Learning,321000010015,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1995-07-01T00:00:00.000,Open,X015,2195 ANDREWS AVENUE,NY,1009211,252336,-73.909763,40.859243,207,14,25500,2032240009,BX30,Kingsbridge Heights,Tara Edmonds,Principal,718-563-0473,718-563-1568,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,207,52
2020,11X016,X016,P.S. 016 Wakefield,321100010016,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1909-07-01T00:00:00.000,Open,X016,4550 CARPENTER AVENUE,NY,1024546,268048,-73.854231,40.902311,212,11,41400,2050760031,BX62,Woodlawn-Wakefield,Eduardo Calderon,Principal,718-324-1262,718-324-8370,11,11,COMMUNITY SCHOOL DISTRICT 11,"VAUGHAN, CRISTINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 9- Bronx,NULL,NULL,NULL,212,47
2020,75X017,X017,P.S. X017,307500012017,DOE,Special Education,K-8,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE","01,02,03,04,05,06,07,08,09,SE",1991-09-12T00:00:00.000,Open,X184,778 FOREST AVENUE,NY,1010437,237567,-73.905389,40.818703,201,17,7700,2026550030,BX34,Melrose South-Mott Haven North,MARLIN HOGGARD,Principal,718-665-5617,718-665-6372,7,75,CITYWIDE SPECIAL EDUCATION,"LOUISSAINT, KETLER",D75 CITYWIDE BCO,Tillman Roberto,Children First Network 752,NULL,NULL,NULL,201,40
2020,07X018,X018,P.S. 018 John Peter Zenger,320700010018,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1952-07-01T00:00:00.000,Open,X018,502 MORRIS AVENUE,NY,1005647,236712,-73.922697,40.816369,201,8,5100,2023240008,BX39,Mott Haven-Port Morris,Lauren Sewell Walker,Principal,718-292-2868,718-292-2862,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,11X019,X019,P.S. 019 Judith K. Weiss,321100010019,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1925-07-01T00:00:00.000,Open,X019,4318 KATONAH AVENUE,NY,1021032,266964,-73.866949,40.899351,212,11,45102,2033860001,BX62,Woodlawn-Wakefield,Ellen Obrien,I.A. Principal,718-324-1924,718-994-9132,11,11,COMMUNITY SCHOOL DISTRICT 11,"VAUGHAN, CRISTINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 9- Bronx,NULL,NULL,NULL,212,47
2020,10X020,X020,"PS/MS 20 P.O.George J. Werdann, III",321000010020,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1996-07-01T00:00:00.000,Open,X020,3050 WEBSTER AVENUE,NY,1017790,256077,-73.878731,40.869482,207,11,42500,2033300001,BX43,Norwood,CARLA LING,Principal,718-515-9370,718-515-9378,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,207,52
2020,11X021,X021,P.S. 021 Philip H. Sheridan,321100010021,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1915-07-01T00:00:00.000,Open,X021,715 EAST 225 STREET,NY,1023120,262791,-73.85942,40.887888,212,12,40600,2048390039,BX44,Williamsbridge-Olinville,JOYCE COLEMAN,Principal,718-652-3903,718-231-2556,11,11,COMMUNITY SCHOOL DISTRICT 11,"VAUGHAN, CRISTINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 9- Bronx,NULL,NULL,NULL,212,47
2020,09X022,X022,J.H.S. 022 Jordan L. Mott,320900010022,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","05,06,07,08",1949-07-01T00:00:00.000,Open,X022,270 EAST 167 STREET,NY,1007952,242417,-73.91435,40.832022,204,16,17500,2024380050,BX14,East Concourse-Concourse Village,BRANDY FRANKLIN,Acting Principal,718-681-6850,718-681-6895,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,204,44
2020,10X023,X023,P.S. 023 The New Children's School,321000010023,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1991-07-01T00:00:00.000,Open,X023,2151 WASHINGTON AVENUE,NY,1013311,250173,-73.894951,40.853294,206,15,39500,2030370079,BX01,Claremont-Bathgate,SHIRLEY TORRES,Principal,718-584-3992,718-584-7252,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,206,48
2020,10X024,X024,P.S. 024 Spuyten Duyvil,321000010024,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1953-07-01T00:00:00.000,Open,X024,660 WEST 236 STREET,NY,1007721,262419,-73.915114,40.886922,208,11,30900,2059170140,BX22,North Riverdale-Fieldston-Riverdale,Steven Schwartz,Principal,718-796-8845,718-796-7243,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,208,50
2020,07X025,X025,P.S. 025 Bilingual School,320700010025,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05,SE",1897-07-01 00:00:00.000,Open,X025,811 EAST 149 STREET,NY,1010339,235451,-73.905751,40.812895,201,8,7900,2026640001,BX34,Melrose South-Mott Haven North,Carmen Toledo-Guerrero,Principal,718-292-2995,718-292-2997,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,09X028,X028,P.S. 028 Mount Hope,320900010028,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1897-07-01 00:00:00.000,Open,X028,1861 ANTHONY AVENUE,NY,1010859,248367,-73.903821,40.848344,205,15,23302,2028040031,BX41,Mount Hope,Stephen Beckles,Principal,718-583-6444,718-583-6537,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,205,46
2020,07X029,X029,P.S./M.S. 029 Melrose School,320700010029,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1963-07-01T00:00:00.000,Open,X029,758 COURTLANDT AVENUE,NY,1007383,238599,-73.916419,40.821544,201,17,6900,2024030001,BX34,Melrose South-Mott Haven North,Danielle Presto,Principal,718-292-3785,718-292-3784,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,07X030,X030,P.S. 030 Wilton,320700010030,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1924-07-01T00:00:00.000,Open,X030,510 EAST 141 STREET,NY,1007111,234037,-73.917417,40.809023,201,8,3900,2022670015,BX39,Mott Haven-Port Morris,Debra Michaux,Principal,718-292-8817,718-292-3962,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,07X031,X031,P.S./M.S. 031 The William Lloyd Garrison,320700010031,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08,SE","PK,0K,01,02,03,04,05,06,07,08",1899-09-01 00:00:00.000,Open,X151,250 EAST 156 STREET,NY,1006076,238973,-73.92114,40.822574,204,17,6100,2024430190,BX14,East Concourse-Concourse Village,William Hewlett,I.A. Principal,718-292-4397,718-292-4399,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,204,44
2020,10X032,X032,P.S. 032 Belmont,321000010032,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1899-07-01 00:00:00.000,Open,X032,690 EAST 183 STREET,NY,1015727,249604,-73.88622,40.851724,206,15,39100,2030850001,BX06,Belmont,Rebecca Lew,Principal,718-584-3645,718-584-7927,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,206,48
2020,10X033,X033,P.S. 033 Timothy Dwight,321000010033,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1899-07-01 00:00:00.000,Open,X033,2424 JEROME AVENUE,NY,1011560,253233,-73.901268,40.861698,205,14,23900,2031880020,BX40,Fordham South,LYNETTE SANTOS,Principal,718-584-3926,718-584-7004,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,205,46
2020,09X035,X035,P.S. 035 Franz Siegel,320900010035,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1903-07-01T00:00:00.000,Open,X035,261 EAST 163 STREET,NY,1007025,240954,-73.917705,40.828009,204,16,18302,2024460043,BX14,East Concourse-Concourse Village,GRACIELA NAVARRO,Principal,718-681-7214,718-681-7264,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,204,44
2020,08X036,X036,P.S. 036 Unionport,320800010036,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1901-07-01T00:00:00.000,Open,X036,1070 CASTLE HILL AVENUE,NY,1025819,241515,-73.849791,40.82948,209,18,7800,2038170001,BX59,Westchester-Unionport,Elvira Maresca,Principal,718-822-5345,718-239-6390,8,8,COMMUNITY SCHOOL DISTRICT 08,"TOBIA, ERIKA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 7- Bronx,NULL,NULL,NULL,209,43
2020,10X037,X037,P.S. X037 - Multiple Intelligence School,321000010037,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",1994-07-01T00:00:00.000,Open,X037,360 WEST 230 STREET,NY,1008117,259145,-73.913694,40.877935,208,11,29302,2057160725,BX29,Spuyten Duyvil-Kingsbridge,KENNETH PETRICCIONE,Principal,718-796-0360,718-796-0054,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,208,50
2020,08X039,X039,PS 39,320800010039,DOE,General Academic,Early Childhood,NULL,"0K,01",1905-07-01T00:00:00.000,Closed,X039,965 LONGWOOD AVENUE,NY,1012424,237135,-73.8982,40.8175,202,17,8700,2027100001,BX33,Longwood,NULL,NULL,718-620-0943,718-620-0958,8,8,COMMUNITY SCHOOL DISTRICT 08,Dov Rokeach,NULL,NULL,NULL,NULL,NULL,NULL,202,41
2020,11X041,X041,P.S. 041 Gun Hill Road,321100010041,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1905-07-01T00:00:00.000,Open,X041,3352 OLINVILLE AVENUE,NY,1020801,258002,-73.867834,40.874754,212,12,37400,2046240015,BX44,Williamsbridge-Olinville,Michelle Moore,Principal,718-652-3461,718-231-2668,11,11,COMMUNITY SCHOOL DISTRICT 11,"VAUGHAN, CRISTINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 9- Bronx,NULL,NULL,NULL,212,47
2020,09X042,X042,P.S. 042 Claremont,320900010042,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1906-07-01T00:00:00.000,Open,X042,1537 WASHINGTON AVENUE,NY,1011023,244830,-73.903243,40.838636,203,16,16900,2029030023,BX01,Claremont-Bathgate,LUCIA ORDUZ CASTILLO,Principal,718-583-7366,718-583-7345,9,9,COMMUNITY SCHOOL DISTRICT 09,"RODRIGUEZ-ROSARIO, LETICIA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 8- Bronx,NULL,NULL,NULL,203,42
2020,07X043,X043,P.S. 043 Jonas Bronck,320700010043,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1906-07-01T00:00:00.000,Open,X043,165 BROWN PLACE,NY,1005956,233099,-73.921593,40.806452,201,8,2500,2022800040,BX39,Mott Haven-Port Morris,DR. GIOVANNA DELUCCHI,Principal,718-292-4502,718-292-4504,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
2020,12X044,X044,P.S. 044 David C. Farragut,321200010044,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1911-07-01T00:00:00.000,Open,X044,1825 PROSPECT AVENUE,NY,1014385,246265,-73.891086,40.842564,206,17,36902,2029490064,BX17,East Tremont,Melissa Harrow,Principal,718-583-2360,718-901-4068,12,12,COMMUNITY SCHOOL DISTRICT 12,"ROSADO, JACQUELINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 5- Bronx,NULL,NULL,NULL,206,48
2020,10X045,X045,Thomas C. Giordano Middle School 45,321000010045,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",1912-07-01T00:00:00.000,Open,X045,2502 LORILLARD PLACE,NY,1015501,252032,-73.887026,40.858389,206,15,38700,2030670001,BX06,Belmont,ANNAMARIA PERROTTA,Principal,718-584-1660,718-584-7968,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 3- Bronx,NULL,NULL,NULL,206,48
2020,10X046,X046,P.S. 046 Edgar Allan Poe,321000010046,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1911-07-01T00:00:00.000,Open,X046,279 EAST 196 STREET,NY,1014563,255230,-73.890402,40.867169,207,15,40501,2032950001,BX05,Bedford Park-Fordham North,JENNIFER ALEXANDER ADE,Principal,718-584-4450,718-584-7402,10,10,COMMUNITY SCHOOL DISTRICT 10,"HULLA, MARIBEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 4- Bronx,NULL,NULL,NULL,207,52
2020,12X047,X047,P.S. 047 John Randolph,321200010047,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",1912-07-01T00:00:00.000,Open,X047,1794 EAST 172 STREET,NY,1021062,242618,-73.866974,40.832529,209,18,7600,2037860016,BX08,West Farms-Bronx River,THOMAS GUARNIERI,Principal,718-824-0950,718-904-1166,12,12,COMMUNITY SCHOOL DISTRICT 12,"ROSADO, JACQUELINE",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 5- Bronx,NULL,NULL,NULL,209,43
2020,08X048,X048,P.S. 048 Joseph R. Drake,320800010048,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,SE","PK,0K,01,02,03,04,05",1916-07-01T00:00:00.000,Open,X048,1290 SPOFFORD AVENUE,NY,1015575,235872,-73.886834,40.814034,202,17,9300,2027660001,BX27,Hunts Point,JOSEPH DICRESCENTO,Principal,718-589-4312,718-842-6993,8,8,COMMUNITY SCHOOL DISTRICT 08,"TOBIA, ERIKA",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 7- Bronx,NULL,NULL,NULL,202,41
2020,07X049,X049,P.S. 049 Willis Avenue,320700010049,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","PK,0K,01,02,03,04,05",1965-07-01T00:00:00.000,Open,X049,383 EAST 139 STREET,NY,1005640,234542,-73.92273,40.810413,201,8,3900,2023020040,BX39,Mott Haven-Port Morris,Frank Hernandez,Principal,718-292-4623,718-292-4568,7,7,COMMUNITY SCHOOL DISTRICT 07,"ALVAREZ, RAFAEL",NYCDOE Borough Office - Bronx,"SAFFER, NANCY",School Support Team 6- Bronx,NULL,NULL,NULL,201,40
